Customer_ID,upsell_xsell,acct_age,credit_class,sales_channel,rfm_score,Est_HH_Income,region_US,state_US,cs_ttl_pop,cs_ttl_male,cs_ttl_female,cs_ttl_hhlds,cs_ttl_mdage,handset,data_device_age,equip_age,bill_data_usg_m03,data_usage_amt
3010231,0,28,near prime,National Sales,321,"$24,000 ",Greater Texas,TX,"14,608",50.29,49.71,"4,582",32,LG,"2,104",3,"3,405",16
428761,0,27,near prime,Retail,323,"$28,800 ",Great Lakes,MN,902,50.22,49.78,379,42,Samsung,299,4,"3,785",1
2451358,0,41,other,Retail,321,"$36,300 ",Great Lakes,OH,"28,561",48.23,51.77,"11,838",36,Apple,2,22,"2,072",5
462551,0,31,prime,Retail,222,"$16,500 ",South,NC,"29,850",48.81,51.19,"11,249",33,Nokia,"1,344",26,"3,846",1
2152424,0,40,near prime,National Sales,231,"$16,900 ",Great Lakes,OH,"10,986",48.71,51.29,"4,349",39,Samsung,952,33,25,4
1961632,0,75,near prime,Indirect,311,"$22,000 ",South,FL,"11,087",49.69,50.31,"3,685",35,LG,889,0,"4,104",31
1124697,0,46,prime,Retail,223,"$19,800 ",South,GA,"42,444",50.12,49.88,"14,807",34,Apple,982,1,-12,46
1416752,0,29,prime,Retail,123,"$14,200 ",Mid Atlantic,NY,"75,390",46.6,53.4,"27,465",31,HTC,"1,374",2,"3,360",15
3206654,0,38,near prime,National Sales,323,"$29,400 ",Mid Atlantic,NJ,"11,915",47.02,52.98,"4,280",39,Samsung,"1,878",2,"6,092",2
709205,0,46,prime,Retail,211,"$43,700 ",Great Lakes,MI,"22,303",49.75,50.25,"8,265",37,Apple,982,5,"1,421",42
999288,0,65,prime,Retail,231,"$17,700 ",Pacific,CA,"13,149",48.14,51.86,"4,353",43,LG,"1,820",33,"1,799",1
3835329,0,52,near prime,National Sales,212,"$19,100 ",Mtn West,CO,"30,715",47.97,52.03,"11,722",34,Apple,866,0,"1,904",5
78146,0,26,near prime,Retail,121,"$11,000 ",Mtn West,WY,"34,767",51.4,48.6,"14,000",34,Nokia,743,17,462,2
2953650,0,52,prime,Indirect,133,"$44,900 ",South,TN,"31,558",48.69,51.31,"12,242",36,Apple,"1,682",21,"2,446",4
241169,0,53,near prime,Retail,133,"$42,400 ",Greater Texas,TX,"32,675",50.78,49.22,"10,446",33,Apple,4,20,"1,143",2
3779644,0,46,prime,Retail,333,"$42,500 ",Pacific,CA,"18,096",47.11,52.89,"7,464",36,Apple,982,6,"1,318",2
79900,1,64,prime,Retail,122,"$45,300 ",Greater Texas,OK,"24,910",48.25,51.75,"10,203",33,Apple,567,28,"1,166",4
646962,0,42,prime,National Sales,223,"$19,600 ",Midwest,MO,"6,965",49.15,50.85,"2,254",30,Nokia,"2,096",19,"1,233",2
566962,0,28,near prime,Retail,133,"$21,500 ",Mid Atlantic,MD,649,46.84,53.16,258,38,Apple,758,23,"1,456",30
1326911,0,46,prime,Retail,133,"$43,700 ",Southwest,AZ,,NA,NA,,NA,Apple,982,19,"3,288",27
79772,0,40,prime,Retail,231,"$44,900 ",Mid Atlantic,NY,"11,120",49.63,50.37,"3,550",36,Motorola,"1,235",3,"1,917",2
1905968,0,37,prime,Retail,331,"$70,100 ",Pacific,CA,"8,303",50.48,49.52,"2,474",30,LG,45,37,"5,393",27
1379596,0,42,other,National Sales,112,"$30,000 ",Pacific,CA,"51,344",50.62,49.38,"16,442",29,Apple,,24,52,30
250964,0,32,prime,Retail,333,"$30,000 ",South,FL,"29,167",50.23,49.77,"10,772",33,LG,348,2,"1,759",5
168104,0,36,prime,Indirect,231,"$18,500 ",South,FL,"46,392",46.59,53.41,"16,830",32,Apple,"2,063",23,"1,603",21
2183395,0,47,prime,National Sales,331,"$30,200 ",Mid Atlantic,PA,"11,700",46.48,53.52,"4,456",40,LG,"1,133",25,"1,864",18
2867260,0,52,prime,National Sales,321,"$20,100 ",Great Lakes,IL,"37,027",51.17,48.83,"11,896",33,Apple,552,4,"2,320",44
1356538,0,35,prime,Retail,221,"$30,300 ",Southwest,AZ,"71,745",49.09,50.91,"24,046",31,Apple,"1,826",37,"1,305",48
389037,0,32,near prime,Indirect,112,"$30,500 ",Pacific,WA,"47,202",48.94,51.06,"18,612",37,Apple,"1,737",35,634,46
1259331,0,47,near prime,Indirect,213,"$17,000 ",Pacific,CA,"45,106",48.92,51.08,"12,986",37,Apple,734,27,"1,349",11
3792061,0,52,prime,Retail,211,"$29,700 ",Greater Texas,TX,"15,550",49.97,50.03,"5,512",36,Apple,224,24,51,4
28077,0,35,other,Branded 3rd Party Retail,313,"$42,200 ",Southwest,NM,"52,751",48.54,51.46,"19,308",35,LG,131,4,"2,737",23
3557597,0,47,prime,Retail,132,"$45,400 ",Pacific,CA,"23,312",48.43,51.57,"7,998",42,Apple,"1,278",5,867,2
9639,0,44,prime,National Sales,112,"$11,100 ",South,GA,"42,244",48.82,51.18,"15,298",36,HTC,17,0,645,32
377394,1,46,other,Retail,113,"$30,600 ",Pacific,CA,"33,024",51.64,48.36,"13,063",35,HTC,5,0,"1,064",2
2295163,0,39,near prime,Retail,322,"$30,900 ",Pacific,OR,"8,429",50.68,49.32,"3,239",32,Apple,989,34,"1,269",2
1104651,0,21,near prime,Indirect,233,"$19,100 ",Mid Atlantic,VA,"16,665",48.51,51.49,"8,007",33,HTC,281,36,"2,215",1
3799602,0,65,prime,Retail,223,"$18,100 ",Great Lakes,WI,"7,922",48.56,51.44,"3,129",40,Apple,,33,"2,739",3
3497543,0,45,prime,National Sales,121,"$14,000 ",South,FL,"20,658",47.2,52.8,"9,008",51,Apple,48,7,941,2
464396,0,22,other,National Sales,312,"$21,100 ",Mid Atlantic,PA,"57,255",47.34,52.66,"23,471",41,Unknown,,26,"1,510",14
2205218,0,66,near prime,Retail,112,"$14,200 ",South,GA,"2,097",46.92,53.08,774,37,Samsung,"1,211",18,344,39
87249,0,41,prime,Indirect,312,"$25,700 ",Greater Texas,TX,"9,966",47.97,52.03,"3,450",32,HTC,526,39,"2,930",4
2443761,0,28,near prime,Branded 3rd Party Retail,231,"$30,900 ",Greater Texas,LA,"2,977",48.27,51.73,"1,057",30,HTC,839,36,896,18
2427721,0,74,near prime,National Sales,213,"$30,300 ",Great Lakes,OH,"17,786",49.54,50.46,"5,944",37,Samsung,330,4,647,5
2025663,1,60,prime,Retail,122,"$29,600 ",Midwest,IA,"1,224",51.88,48.12,486,39,Apple,"1,599",17,610,1
2533110,0,30,prime,National Sales,213,"$30,200 ",South,NC,"17,732",49.21,50.79,"6,049",36,Samsung,,28,30,2
3523921,1,62,prime,Indirect,331,"$21,700 ",South,SC,"48,091",48.53,51.47,"17,382",33,LG,948,35,"2,571",5
1182929,1,46,prime,Retail,111,"$24,700 ",Mid Atlantic,NY,"15,893",45.31,54.69,"5,006",30,Apple,982,46,"1,234",29
528314,0,56,near prime,Retail,122,"$28,800 ",Greater Texas,TX,"24,159",46.28,53.72,"8,745",35,Samsung,"2,073",31,"1,849",3
1094083,0,51,near prime,Indirect,321,"$23,500 ",Greater Texas,TX,"15,428",52.6,47.4,"3,983",26,Apple,71,34,"1,207",5
3251962,0,46,prime,Retail,332,"$42,500 ",Mid Atlantic,NY,"53,673",48.47,51.53,"29,516",34,Apple,982,5,"4,090",17
959630,0,25,prime,Branded 3rd Party Retail,333,"$21,700 ",Great Lakes,IN,"11,336",45.73,54.27,"4,689",39,Samsung,524,0,"2,409",1
3162411,0,40,near prime,Direct,323,"$20,500 ",Greater Texas,TX,"30,837",48.66,51.34,"8,327",27,HTC,557,23,488,4
3262890,0,46,prime,Retail,121,"$43,500 ",Mid Atlantic,VA,"22,072",45.17,54.83,"8,466",33,Apple,982,18,"1,895",2
39962,0,49,near prime,Retail,332,"$70,800 ",Mid Atlantic,WV,"22,390",47.3,52.7,"9,732",43,LG,391,6,"6,000",58
76892,1,46,prime,Indirect,222,"$43,300 ",Mid Atlantic,NJ,"13,948",47.03,52.97,"5,794",42,Apple,497,2,"1,657",3
2656815,0,62,prime,Indirect,111,"$45,400 ",South,GA,"20,150",48.5,51.5,"7,438",34,Apple,693,42,622,49
3168956,0,37,prime,Retail,233,"$19,700 ",Mid Atlantic,VA,"15,089",48.9,51.1,"5,194",34,Motorola,589,3,"1,393",24
3639920,0,37,risky,Retail,213,"$44,200 ",Midwest,MO,"38,100",48.41,51.59,"13,943",39,Samsung,"1,747",23,-476,4
3973593,1,51,prime,National Sales,332,"$58,400 ",Pacific,CA,"61,203",48.73,51.27,"16,280",25,LG,742,24,"3,416",27
886824,0,46,prime,Retail,113,"$30,800 ",Greater Texas,TX,"8,370",51.34,48.66,"2,817",32,Apple,982,4,"1,151",35
1905931,0,46,prime,Retail,333,"$29,200 ",Mid Atlantic,PA,"2,600",50.96,49.04,971,38,Apple,982,37,"4,362",4
1310701,0,58,prime,Retail,321,"$44,500 ",South,GA,"44,917",46.41,53.59,"14,905",32,Apple,,20,"2,555",20
3627577,0,40,prime,Retail,311,"$28,300 ",Pacific,CA,"42,840",49.05,50.95,"15,041",37,Apple,"1,334",8,"1,972",10
3160351,0,28,near prime,Retail,232,"$16,100 ",Greater Texas,TX,"35,573",47.63,52.37,"15,473",37,LG,927,24,"1,637",2
2869859,0,23,near prime,National Sales,311,"$21,100 ",Greater Texas,TX,"41,727",49.66,50.34,"14,639",34,Apple,542,0,390,3
1413723,0,56,prime,Branded 3rd Party Retail,321,"$20,700 ",Pacific,CA,"23,159",49.96,50.04,"4,921",23,Apple,94,22,"2,730",3
1830338,0,27,near prime,Indirect,332,"$48,300 ",Mid Atlantic,NJ,"26,272",47.76,52.24,"8,991",38,Samsung,"1,688",4,"2,800",14
1997245,0,61,prime,Indirect,121,"$29,600 ",Greater Texas,TX,"46,826",51.82,48.18,"16,953",21,Apple,821,29,141,5
278624,0,75,prime,Retail,211,"$45,000 ",Mid Atlantic,NY,"34,053",47.57,52.43,"13,096",37,LG,"2,221",6,"1,716",16
3987513,0,46,prime,Indirect,131,"$30,000 ",Greater Texas,TX,"43,285",49.44,50.56,"17,151",36,HTC,36,1,634,3
3950374,0,61,prime,Direct,222,"$17,700 ",Greater Texas,TX,"72,897",50.35,49.65,"20,212",27,LG,,39,187,11
1382793,0,46,prime,Retail,221,"$14,000 ",Mid Atlantic,PA,"11,014",48.76,51.24,"4,462",40,Apple,982,35,909,22
1635036,1,38,near prime,Retail,313,"$36,300 ",Greater Texas,AR,"4,035",48.8,51.2,"1,538",36,Apple,574,1,"1,689",31
652088,1,29,near prime,National Sales,213,"$17,500 ",Mid Atlantic,DE,"6,408",49.91,50.09,"2,764",48,LG,,20,878,5
253526,0,56,near prime,National Sales,232,"$30,100 ",Mid Atlantic,VA,"1,343",47.06,52.94,504,40,Apple,685,42,"1,275",35
2963111,0,50,near prime,Retail,213,"$19,200 ",Mtn West,CO,"2,172",54.28,45.72,713,35,Samsung,461,22,"1,164",20
8945,0,39,near prime,National Sales,111,"$11,100 ",Great Lakes,OH,"32,079",48.55,51.45,"12,588",37,HTC,894,5,701,13
73721,0,27,prime,Retail,331,"$25,100 ",Pacific,CA,"52,972",50.82,49.18,"20,254",35,Unknown,"1,324",40,"1,833",4
3982938,0,46,prime,Retail,123,"$14,000 ",New England,MA,"32,567",48.21,51.79,"11,103",35,Apple,982,36,342,3
3460942,0,59,prime,Retail,223,"$30,800 ",Mid Atlantic,NY,"20,216",47.46,52.54,"7,671",36,Apple,"1,405",2,"1,701",2
397693,1,42,prime,Indirect,331,"$57,300 ",Pacific,CA,"27,400",48,52,"8,098",34,Apple,309,29,"17,529",3
3406686,0,48,prime,Retail,121,"$30,500 ",Pacific,CA,"6,095",49.27,50.73,"2,340",44,HTC,"1,027",35,"3,390",4
2028608,0,46,prime,Retail,211,"$13,900 ",Mid Atlantic,PA,"9,803",47.88,52.12,"4,158",41,Apple,982,34,626,12
1229238,0,40,other,Retail,313,"$59,100 ",South,AL,"21,732",47.58,52.42,"8,630",38,Apple,80,21,"4,274",11
600651,0,37,near prime,Retail,321,"$23,100 ",South,TN,"35,744",46.21,53.79,"12,997",32,HTC,"1,852",37,356,4
3367416,0,45,near prime,Retail,113,"$14,200 ",Pacific,CA,"63,317",49.08,50.92,"20,151",36,Apple,663,31,231,37
3623556,0,27,near prime,National Sales,221,"$45,300 ",Pacific,CA,"28,672",48.59,51.41,"12,869",44,Samsung,576,1,"1,082",4
1388619,0,56,prime,Indirect,212,"$16,600 ",Greater Texas,TX,"31,958",49.81,50.19,"10,395",33,Apple,392,23,940,16
3829107,0,50,other,Branded 3rd Party Retail,122,"$29,900 ",Pacific,CA,"19,768",49.05,50.95,"6,467",39,Motorola,,25,"1,524",43
84066,0,22,near prime,National Sales,333,"$66,700 ",Pacific,WA,"19,801",48.7,51.3,"7,594",30,Samsung,510,20,"5,195",3
77560,0,29,near prime,Retail,213,"$44,700 ",Great Lakes,IL,"87,577",50.92,49.08,"24,566",28,Samsung,555,20,"1,220",29
811525,0,49,prime,Indirect,323,"$40,700 ",Pacific,CA,"24,572",47.81,52.19,"10,880",35,LG,"1,438",21,"5,032",17
349153,0,51,near prime,Retail,233,"$30,800 ",South,FL,"58,283",47.89,52.11,"22,736",34,Apple,"1,864",32,"2,007",2
75517,0,36,prime,National Sales,232,"$17,700 ",South,AL,"27,176",49.83,50.17,"12,181",26,LG,"1,103",25,"1,525",5
535845,0,45,other,Retail,232,"$16,300 ",Southwest,AZ,"43,999",50.64,49.36,"16,844",31,LG,921,24,"5,547",1
2126405,0,46,prime,Retail,232,"$16,400 ",South,FL,"14,001",48.72,51.28,"5,564",41,Apple,982,20,864,5
2938952,0,37,near prime,National Sales,131,"$14,000 ",Mid Atlantic,NJ,"16,400",48.17,51.83,"6,346",40,Samsung,287,26,50,3
3947087,0,37,near prime,National Sales,211,"$17,500 ",Mid Atlantic,NJ,"4,384",48.08,51.92,"1,608",40,Apple,673,33,551,3
2089191,0,51,prime,Retail,213,"$19,400 ",Mid Atlantic,VA,"2,602",48.42,51.58,"1,066",42,Apple,446,22,"1,649",1
990677,0,42,near prime,Retail,123,"$14,000 ",Great Lakes,OH,"4,082",49.09,50.91,"1,546",45,LG,"1,340",31,"3,031",19
823757,0,39,near prime,Retail,221,"$30,500 ",South,FL,"34,855",49.06,50.94,"11,706",34,LG,,20,"1,764",45
79332,0,56,near prime,National Sales,212,"$44,100 ",Pacific,CA,"14,850",51.23,48.77,"3,505",25,Apple,489,10,"1,289",2
450697,0,48,near prime,Retail,322,"$23,100 ",New England,CT,"23,686",48.13,51.87,"8,452",39,Motorola,559,29,"2,606",4
650701,0,30,other,Retail,323,"$56,100 ",Midwest,IA,"3,627",50.7,49.3,"1,363",37,Samsung,77,27,"1,561",2
1334656,0,62,prime,National Sales,311,"$20,000 ",Mid Atlantic,NJ,"8,193",47.13,52.87,"3,984",50,Apple,0,35,"1,068",45
1579934,0,37,prime,National Sales,333,"$37,800 ",South,NC,"41,705",49.24,50.76,"16,615",37,Apple,,42,"3,750",35
3058766,0,43,near prime,Indirect,121,"$31,800 ",Midwest,NE,"13,403",50.32,49.68,"3,848",32,Apple,"1,295",37,"1,967",56
3704503,1,46,prime,Retail,112,"$24,500 ",New England,MA,"52,194",47.5,52.5,"23,770",37,Apple,982,1,"1,502",57
2993191,0,41,prime,Indirect,211,"$17,900 ",Great Lakes,OH,"63,783",48.46,51.54,"24,114",39,HTC,"1,619",22,"2,261",21
1028481,0,44,near prime,Retail,311,"$32,600 ",Mid Atlantic,PA,"15,679",49.83,50.17,"5,465",36,Apple,"1,656",38,"1,768",1
2184140,0,36,other,Retail,131,"$30,000 ",South,GA,"28,005",50.32,49.68,"9,529",31,Apple,,23,761,2
3802000,0,38,near prime,Retail,123,"$43,700 ",Great Lakes,OH,"5,947",49.2,50.8,"2,253",34,Motorola,565,37,402,4
446934,0,41,prime,National Sales,123,"$29,400 ",New England,MA,"50,781",46.38,53.62,"17,330",31,HTC,371,35,"1,644",14
87162,0,22,prime,Retail,231,"$45,000 ",Greater Texas,LA,"27,247",47.12,52.88,"9,603",27,Samsung,"1,030",18,"1,271",27
2810774,0,42,prime,National Sales,111,"$17,400 ",South,NC,"1,953",49,51,756,42,Samsung,499,24,-248,26
3032202,0,51,prime,Indirect,221,"$44,000 ",Mid Atlantic,PA,"6,967",48.69,51.31,"2,537",39,Apple,"1,229",27,876,13
2518966,0,29,prime,National Sales,113,"$43,400 ",Mid Atlantic,NY,"87,165",47.08,52.92,"25,765",29,Apple,0,24,"1,291",2
1500122,0,51,near prime,Retail,113,"$47,900 ",Great Lakes,IL,"56,840",48.58,51.42,"20,198",36,LG,"2,126",34,682,3
2091845,0,46,prime,Retail,311,"$32,900 ",Pacific,CA,"1,816",50.17,49.83,735,39,Apple,982,3,"1,136",17
78438,0,36,near prime,Retail,222,"$45,000 ",Mid Atlantic,WV,"6,000",69.73,30.27,"1,413",35,Samsung,"2,234",6,"1,879",30
80533,0,54,prime,Retail,331,"$25,600 ",Greater Texas,TX,"38,414",48.44,51.56,"12,421",31,Motorola,719,26,"1,745",24
1771803,0,36,other,National Sales,211,"$16,300 ",Mid Atlantic,NY,"35,622",46.27,53.73,"12,920",29,LG,61,2,"1,047",24
2375044,0,38,prime,National Sales,231,"$30,000 ",South,GA,"21,270",50.24,49.76,"7,514",33,Apple,994,1,"1,080",2
294715,0,50,near prime,Retail,211,"$43,300 ",South,FL,"29,837",48.75,51.25,"14,423",38,Samsung,70,27,312,57
82017,1,42,prime,Indirect,222,"$17,500 ",Pacific,CA,"18,062",46.26,53.74,"6,968",34,Samsung,587,38,"1,768",1
78681,0,41,near prime,National Sales,232,"$44,000 ",Pacific,CA,"44,737",47.53,52.47,"16,467",35,HTC,"1,430",18,751,3
2294347,1,53,near prime,National Sales,123,"$43,500 ",Mid Atlantic,NJ,"20,298",48.16,51.84,"8,112",36,HTC,466,0,302,3
387129,1,46,prime,Retail,231,"$45,600 ",Mid Atlantic,MD,"61,097",46,54,"23,644",38,Apple,982,25,"1,962",5
79820,0,46,prime,Retail,122,"$45,300 ",Greater Texas,LA,"36,847",46.05,53.95,"15,026",31,Apple,982,1,863,2
2843145,0,46,near prime,Retail,331,"$29,800 ",South,FL,"19,327",49.12,50.88,"5,956",33,Apple,"1,346",22,"1,726",25
2210877,0,86,prime,Retail,233,"$44,100 ",Greater Texas,TX,"51,087",47.64,52.36,"16,555",31,Apple,"1,557",33,"1,632",15
192230,0,42,near prime,Retail,212,"$16,100 ",Mid Atlantic,NY,"4,348",50.74,49.26,"1,583",37,HTC,418,25,"2,551",4
87133,0,42,prime,Retail,111,"$29,700 ",Great Lakes,IN,"20,986",47.56,52.44,"8,463",38,Apple,"1,409",36,381,40
473713,0,60,prime,Indirect,332,"$24,900 ",Greater Texas,OK,"26,552",48.86,51.14,"9,324",35,Apple,"2,250",40,"1,145",3
807858,0,46,near prime,Retail,122,"$11,200 ",Great Lakes,OH,"47,231",47.23,52.77,"19,199",36,LG,277,4,683,13
2563148,0,51,near prime,Indirect,222,"$43,500 ",Southwest,AZ,"9,187",49.31,50.69,"3,571",40,LG,"2,408",24,"1,787",4
700784,0,42,near prime,National Sales,212,"$29,800 ",Greater Texas,TX,"33,446",49.6,50.4,"11,672",28,Apple,831,5,"1,245",5
2123097,0,36,near prime,Retail,312,"$37,100 ",South,KY,"26,548",48.59,51.41,"10,287",33,Apple,"1,164",20,-3,15
252040,1,53,other,Retail,112,"$11,100 ",Mid Atlantic,PA,"32,680",49.65,50.35,"15,857",36,Samsung,547,6,362,2
209094,0,28,near prime,National Sales,331,"$28,500 ",Greater Texas,TX,"56,348",51.26,48.74,"15,429",29,HTC,16,34,"4,567",53
3855151,0,46,prime,Retail,213,"$16,200 ",Pacific,CA,"48,166",49.54,50.46,"15,589",33,Apple,982,22,"2,140",25
1780988,0,46,prime,Retail,133,"$13,900 ",Mid Atlantic,PA,"3,363",50.34,49.66,"1,264",40,Apple,982,22,"2,627",38
3151880,0,35,near prime,Retail,323,"$20,300 ",Pacific,CA,"77,785",51.6,48.4,"16,746",27,Samsung,195,0,-967,24
1869438,0,38,near prime,Retail,331,"$42,200 ",Great Lakes,MI,"21,455",46.28,53.72,"9,097",35,Apple,574,29,"2,861",4
376903,0,72,prime,Retail,332,"$63,800 ",Mtn West,CO,"26,217",48.92,51.08,"10,046",30,LG,"1,932",26,"6,840",22
964259,1,43,near prime,National Sales,213,"$43,500 ",Mid Atlantic,NJ,"20,709",48.53,51.47,"7,039",37,Samsung,"1,666",23,"3,326",3
299332,0,43,near prime,Branded 3rd Party Retail,321,"$21,100 ",Mid Atlantic,NJ,"45,551",48.46,51.54,"15,979",39,Samsung,546,1,"2,051",51
537975,0,21,near prime,National Sales,113,"$33,400 ",Mid Atlantic,NY,"38,284",45.11,54.89,"13,833",34,Apple,317,32,"1,967",3
313721,0,52,near prime,National Sales,233,"$30,400 ",Great Lakes,MI,"19,655",48.87,51.13,"7,563",39,Apple,727,3,"1,892",2
597074,1,48,prime,Retail,232,"$18,400 ",Greater Texas,LA,"40,287",46.92,53.08,"18,219",34,Samsung,"1,103",24,138,1
2641377,0,39,prime,Retail,133,"$13,900 ",Southwest,UT,"44,979",50.36,49.64,"12,480",27,Apple,"1,815",2,"1,151",3
3964786,0,51,prime,Indirect,123,"$29,600 ",South,GA,"17,747",49.2,50.8,"6,942",39,Motorola,"1,412",0,"1,558",3
1505728,1,46,prime,Retail,222,"$43,600 ",Pacific,CA,"35,056",48.76,51.24,"13,908",39,Apple,982,4,"2,940",4
2366190,1,31,near prime,Indirect,122,"$30,100 ",Great Lakes,MN,"1,907",52.02,47.98,696,32,HTC,874,3,"1,466",42
1255094,0,59,near prime,National Sales,311,"$30,700 ",Southwest,NV,"21,528",49.69,50.31,"7,259",35,Apple,43,22,"3,719",1
742333,1,45,prime,Retail,331,"$28,800 ",Great Lakes,OH,"29,876",47.12,52.88,"12,198",39,Samsung,"1,466",16,"4,342",1
84844,0,61,near prime,Retail,113,"$11,000 ",Pacific,CA,"25,217",49.6,50.4,"9,141",31,Apple,"2,124",20,335,14
629008,0,46,prime,National Sales,322,"$34,000 ",South,FL,"34,855",49.06,50.94,"11,706",34,LG,,31,"4,096",19
2986793,0,47,near prime,Indirect,231,"$18,400 ",Great Lakes,IN,"18,184",48.83,51.17,"7,140",38,Apple,"1,057",23,759,12
3563344,0,46,prime,Retail,311,"$20,300 ",Pacific,CA,"25,793",58.24,41.76,"7,855",36,Apple,982,38,884,20
2816328,0,39,prime,National Sales,232,"$45,700 ",Pacific,CA,"61,203",48.73,51.27,"16,280",25,Motorola,-12,35,"2,295",2
1543544,0,18,other,Retail,323,"$35,900 ",Pacific,HI,"21,762",50.54,49.46,"7,060",36,Apple,,24,"7,088",4
686128,0,46,prime,Retail,232,"$18,800 ",Great Lakes,MN,"16,979",48.1,51.9,"6,293",39,Apple,982,21,"1,738",21
1765620,1,34,other,Retail,312,"$29,700 ",Pacific,CA,"27,407",48.02,51.98,"11,031",40,LG,,36,"2,383",5
757909,0,27,near prime,Retail,331,"$44,300 ",Mid Atlantic,NY,"72,138",46.66,53.34,"22,874",27,Samsung,"1,423",27,"5,334",23
954278,0,46,prime,Retail,133,"$28,100 ",Mid Atlantic,WV,"18,983",48.53,51.47,"8,278",36,Apple,982,4,"2,102",4
2474773,0,50,near prime,Retail,223,"$11,000 ",Mid Atlantic,NY,"60,221",48.26,51.74,"21,000",32,HTC,146,30,"1,451",2
77870,1,55,prime,Indirect,122,"$45,000 ",Greater Texas,TX,"7,404",49.04,50.96,"2,749",35,Apple,0,4,"1,017",29
3010480,0,46,prime,Retail,233,"$45,000 ",South,GA,"6,007",49.99,50.01,"2,054",32,Apple,982,36,"3,816",23
853452,0,49,prime,Indirect,132,"$44,700 ",Greater Texas,TX,"37,899",49.34,50.66,"14,169",30,LG,"1,205",23,"3,094",4
1207103,0,50,near prime,Retail,331,"$30,700 ",Great Lakes,IL,"27,341",51.07,48.93,"11,406",34,Apple,325,35,"1,188",1
2279884,0,39,near prime,National Sales,112,"$29,500 ",New England,MA,"56,340",48.14,51.86,"23,009",36,Apple,59,34,"2,955",26
1101263,0,66,prime,Retail,122,"$43,800 ",Mid Atlantic,MD,"3,963",49.23,50.77,"1,579",38,LG,"1,526",3,"2,387",5
1470143,0,28,near prime,Branded 3rd Party Retail,113,"$45,700 ",Great Lakes,IL,"8,321",51.26,48.74,"2,958",36,LG,591,21,"1,054",5
1626195,0,29,prime,Retail,333,"$56,400 ",Greater Texas,TX,"32,502",48.45,51.55,"13,884",34,Samsung,375,26,"1,231",5
258198,0,44,prime,National Sales,321,"$20,200 ",Mtn West,CO,"15,040",51.52,48.48,"5,386",38,Apple,"1,184",41,"1,893",3
1619911,0,24,near prime,National Sales,233,"$45,500 ",South,FL,"32,625",48.97,51.03,"12,608",31,Samsung,556,2,"1,379",3
1889914,0,37,prime,Retail,321,"$22,200 ",Great Lakes,MN,"27,377",51.76,48.24,"9,810",35,Apple,0,37,"2,260",4
84179,0,28,near prime,National Sales,212,"$29,700 ",Pacific,CA,"36,802",50.4,49.6,"10,360",30,LG,,20,"1,337",32
940054,1,46,prime,Retail,213,"$17,400 ",South,SC,"18,934",48.28,51.72,"7,790",36,Apple,982,2,"1,231",5
1581385,0,48,near prime,Retail,233,"$30,800 ",Pacific,CA,"44,761",46.09,53.91,"15,801",35,HTC,263,7,445,5
3606930,0,46,prime,Retail,331,"$31,800 ",South,NC,,NA,NA,,NA,Samsung,"1,225",19,"3,152",11
