StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q0,Q1,Q3,Q2,Q28,Q11,Q12,Q13_1,Q13_2,Q13_3,Q13_4,Q4,Q5,Q1,Q2_NPS_GROUP,Q2,Q8_NPS_GROUP,Q8,Q29_NPS_GROUP,Q29,Q9_NPS_GROUP,Q9,Q31_NPS_GROUP,Q31,Q32_NPS_GROUP,Q32,Q10_NPS_GROUP,Q10,Q33_NPS_GROUP,Q33,Q34_NPS_GROUP,Q34,Q36_NPS_GROUP,Q36,Q37_NPS_GROUP,Q37,Q38_NPS_GROUP,Q38,Q39_NPS_GROUP,Q39,Q40_NPS_GROUP,Q40,Q41_NPS_GROUP,Q41,Q43_NPS_GROUP,Q43,Q44_NPS_GROUP,Q44,Q45_NPS_GROUP,Q45,Q14_1,Q14_2,Q14_3,Q_DataPolicyViolations
2023-04-09 05:38:45,2023-04-09 05:40:00,0,120.18.105.202,100,75,1,2023-04-09 05:40:00,R_vjHvK6hiSAZqV6F,,,,,-33.8715,151.2006,anonymous,EN,3,2,1,1,1,1,5,1,2,4,3,4,2,"1,2",1,4,3,9,,,1,5,1,6,,,2,7,1,6,,,1,5,1,6,,,1,5,1,5,,,,,1,5,2,7,4,2,1,
2023-04-09 05:38:22,2023-04-09 05:40:29,0,120.18.157.86,100,126,1,2023-04-09 05:40:29,R_pin0IK18frQy5sl,,,,,-33.8715,151.2006,anonymous,EN,3,2,3,3,4,2,4,2,1,3,4,"1,2",1,2,1,6,,,,,,,1,6,,,,,1,6,,,,,1,6,,,,,1,6,,,,,,,1,6,,,,
2023-04-09 05:40:22,2023-04-09 05:41:20,0,120.18.105.202,100,58,1,2023-04-09 05:41:20,R_W20JgKw5qOo7Ac1,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,4,4,2,4,1,3,2,4,"3,4",4,2,3,9,,,,,,,3,9,,,,,3,9,,,,,2,7,,,,,2,7,,,,,,,2,8,2,5,3,
2023-04-09 05:41:24,2023-04-09 05:42:47,0,120.18.105.202,100,82,1,2023-04-09 05:42:47,R_3FJ5Yj9POHRqdv6,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,3,3,2,5,1,2,3,4,3,1,"1,2,3",3,10,1,4,2,8,1,3,3,9,1,5,1,4,2,8,2,7,1,5,2,7,1,6,1,4,1,5,2,8,2,8,2,8,2,7,2,4,4,
2023-04-09 05:41:58,2023-04-09 05:43:03,0,120.18.157.86,100,65,1,2023-04-09 05:43:03,R_Zadp3HVkGf2Wdqh,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,3,2,1,3,2,1,3,4,2,2,2,1,5,,,,,,,1,5,,,,,1,5,,,,,1,5,,,,,1,5,,,,,,,1,5,,,,
2023-04-09 05:43:21,2023-04-09 05:44:10,0,120.18.157.86,100,49,1,2023-04-09 05:44:12,R_e3vw0iCkqQbBBTj,,,,,-33.8715,151.2006,anonymous,EN,3,2,3,2,2,1,1,2,3,1,4,3,1,1,,,1,3,,,1,3,,,,,1,3,,,,,1,3,,,,,1,3,,,,,,,1,4,,,2,4,4,
2023-04-09 05:42:55,2023-04-09 05:44:22,0,120.18.105.202,100,86,1,2023-04-09 05:44:24,R_272x1kgwtyD3ZPd,,,,,-33.8715,151.2006,anonymous,EN,3,2,3,4,3,1,3,1,2,3,4,4,5,"1,2,3",3,9,1,3,3,9,1,3,2,8,2,8,1,3,2,8,2,7,1,3,1,6,2,7,1,6,1,6,2,8,1,6,1,6,1,6,3,4,4,
2023-04-09 05:44:42,2023-04-09 05:45:25,0,120.18.157.86,100,42,1,2023-04-09 05:45:26,R_1jdJwyq4y1JOr6i,,,,,-33.8715,151.2006,anonymous,EN,3,1,2,4,4,2,2,2,3,4,1,"1,2",2,1,,,1,4,,,1,5,,,,,1,3,,,,,1,4,,,,,1,3,,,,,,,1,3,,,,,,
2023-04-09 05:44:45,2023-04-09 05:45:45,0,120.18.105.202,100,59,1,2023-04-09 05:45:45,R_3Of6caEddSSnNZL,,,,,-33.8715,151.2006,anonymous,EN,3,2,3,3,3,2,2,1,3,2,4,2,5,"2,3",2,8,,,2,8,,,2,8,2,8,,,2,8,2,8,,,2,8,2,8,,,2,8,2,8,3,9,,,3,9,,,,
2023-04-09 05:45:33,2023-04-09 05:46:08,0,120.18.157.86,100,34,1,2023-04-09 05:46:08,R_2eXwiru1zGxFIx3,,,,,-33.8715,151.2006,anonymous,EN,3,2,1,4,2,1,2,3,2,1,4,2,1,1,,,1,3,,,1,4,,,,,1,4,,,,,1,4,,,,,1,3,,,,,,,1,5,,,,,,
2023-04-09 05:45:53,2023-04-09 05:46:48,0,120.18.105.202,100,55,1,2023-04-09 05:46:49,R_3UlH6iQdBaQMHrb,,,,,-33.8715,151.2006,anonymous,EN,3,2,3,2,4,3,2,3,1,2,4,4,3,2,2,8,,,,,,,2,7,,,,,2,7,,,,,2,7,,,,,2,7,,,,,,,2,7,1,5,4,
2023-04-09 05:46:14,2023-04-09 05:47:02,0,120.18.157.86,100,48,1,2023-04-09 05:47:02,R_2c2EgASKlQCSNwG,,,,,-33.8715,151.2006,anonymous,EN,,2,2,2,3,2,3,3,2,1,4,"1,2,3",2,2,1,6,,,,,,,1,5,,,,,1,4,,,,,1,6,,,,,1,4,,,,,,,1,5,4,4,3,
2023-04-09 05:46:54,2023-04-09 05:47:32,0,120.18.105.202,100,37,1,2023-04-09 05:47:32,R_3EfZhwMSE1MAQ3D,,,,,-33.8715,151.2006,anonymous,EN,,2,2,1,1,1,1,3,1,2,4,2,1,2,2,7,,,,,,,2,7,,,,,1,6,,,,,2,7,,,,,2,8,,,,,,,2,7,,,,
2023-04-09 05:47:39,2023-04-09 05:48:24,0,120.18.105.202,100,44,1,2023-04-09 05:48:24,R_2rVqxqOeN6rEyfd,,,,,-33.8715,151.2006,anonymous,EN,3,2,1,2,2,1,2,3,1,2,4,1,1,2,1,4,,,,,,,1,4,,,,,1,3,,,,,1,3,,,,,1,4,,,,,,,2,8,,,,
2023-04-09 05:47:14,2023-04-09 05:48:29,0,120.18.157.86,100,75,1,2023-04-09 05:48:30,R_3e5mtKNzVAl5JQV,,,,,-33.8715,151.2006,anonymous,EN,3,2,3,2,4,2,3,2,3,1,4,"1,2,3",1,"1,2",1,5,1,4,,,1,6,1,4,,,2,7,1,4,,,1,4,2,7,,,1,4,1,6,,,,,1,4,1,4,4,4,4,
2023-04-09 05:48:39,2023-04-09 05:49:32,0,120.18.105.202,100,53,1,2023-04-09 05:49:33,R_3Mg81OfinfaJ29Q,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,2,2,1,1,2,1,3,4,1,1,1,,,1,2,,,1,3,,,,,1,4,,,,,1,4,,,,,1,5,,,,,,,1,4,,,,,,
2023-04-09 05:48:37,2023-04-09 05:49:34,0,120.18.157.86,100,57,1,2023-04-09 05:49:35,R_2wh0GS4FcBaT7GU,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,2,4,2,4,2,4,1,3,"1,2",1,"1,2",2,7,1,5,,,2,7,1,4,,,1,6,1,5,,,1,6,1,4,,,1,4,2,7,,,,,1,4,2,7,,,,
2023-04-09 05:49:44,2023-04-09 05:51:03,0,120.18.105.202,100,79,1,2023-04-09 05:51:04,R_Uc4XSnT9KfFc8tb,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,4,2,2,6,2,1,3,4,2,2,2,2,7,,,,,,,1,6,,,,,1,5,,,,,1,5,,,,,1,6,,,,,,,1,5,,,,
2023-04-09 05:47:03,2023-04-09 05:52:15,0,120.147.142.65,100,312,1,2023-04-09 05:52:16,R_D5BmJiWrlzubtxD,,,,,-37.8159,144.9669,anonymous,EN,3,2,3,3,3,2,2,3,1,2,4,1,1,2,2,8,,,,,,,2,8,,,,,3,10,,,,,2,8,,,,,3,9,,,,,,,3,10,,,,
2023-04-09 05:51:22,2023-04-09 05:52:18,0,120.18.105.202,100,55,1,2023-04-09 05:52:18,R_Ad1WSqQ0bJBuYp3,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,4,2,2,4,1,3,2,4,3,3,3,,,,,1,5,,,,,1,6,,,,,2,7,,,,,2,7,,,,,2,8,1,6,,,,,4,4,4,
2023-04-09 05:52:15,2023-04-09 05:53:07,0,120.18.157.86,100,51,1,2023-04-09 05:53:07,R_Dr5IIXXlkwL5cVX,,,,,-33.8715,151.2006,anonymous,EN,3,2,3,3,4,2,5,1,3,2,4,1,1,2,2,7,,,,,,,2,7,,,,,1,5,,,,,1,5,,,,,1,5,,,,,,,1,5,,,,
2023-04-09 05:52:28,2023-04-09 05:53:16,0,120.18.105.202,100,47,1,2023-04-09 05:53:17,R_3Li0zc8bWtqiUnj,,,,,-33.8715,151.2006,anonymous,EN,3,2,3,4,3,3,4,1,3,2,4,"3,4",2,2,2,7,,,,,,,2,8,,,,,2,8,,,,,3,9,,,,,3,10,,,,,,,3,9,2,5,2,
2023-04-09 05:53:41,2023-04-09 05:54:35,0,120.18.157.86,100,54,1,2023-04-09 05:54:36,R_32LWAfjJcPmCii9,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,2,2,1,5,2,4,1,3,1,1,2,2,7,,,,,,,1,6,,,,,2,7,,,,,1,5,,,,,1,5,,,,,,,1,4,,,,
2023-04-09 05:53:31,2023-04-09 05:54:37,0,120.18.105.202,100,65,1,2023-04-09 05:54:37,R_2BkzY2Ww66JvGN0,,,,,-33.8715,151.2006,anonymous,EN,3,2,3,3,4,3,2,1,3,2,4,4,3,"2,3",2,7,,,1,6,,,2,7,2,8,,,2,8,2,7,,,3,9,1,6,,,2,8,1,6,2,8,,,2,7,2,4,5,
2023-04-09 05:54:48,2023-04-09 05:55:23,0,120.18.157.86,100,34,1,2023-04-09 05:55:23,R_3IXNvFFmxQRsNo8,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,3,2,2,3,3,1,2,4,2,2,1,,,1,5,,,1,4,,,,,1,6,,,,,1,4,,,,,1,5,,,,,,,1,4,,,,,,
2023-04-09 05:54:58,2023-04-09 05:55:44,0,120.18.105.202,100,46,1,2023-04-09 05:55:45,R_2cvKLtiqpIKY3UB,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,4,3,3,2,4,1,2,3,"3,4",4,3,,,,,2,7,,,,,2,8,,,,,2,8,,,,,3,9,,,,,3,9,3,9,,,,,4,4,5,
2023-04-09 05:54:13,2023-04-09 05:56:57,0,1.144.29.108,100,163,1,2023-04-09 05:56:57,R_3e1XxQsIINLhOrO,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,3,4,2,4,3,4,1,2,"1,3,11",2,"1,2",2,8,2,8,,,2,8,2,8,,,2,7,2,7,,,3,10,3,10,,,3,9,3,9,,,,,3,9,3,9,5,5,5,
2023-04-09 05:55:50,2023-04-09 05:57:00,0,120.18.157.86,100,70,1,2023-04-09 05:57:01,R_2Bmlsx14yoO3noo,,,,,-33.8715,151.2006,anonymous,EN,3,1,1,5,4,3,1,3,2,4,1,1,1,"1,2",1,5,1,5,,,1,5,1,5,,,1,5,1,5,,,1,5,1,6,,,1,6,1,6,,,,,1,5,1,5,,,,
2023-04-09 05:56:23,2023-04-09 05:57:08,0,120.18.105.202,100,44,1,2023-04-09 05:57:08,R_2uWJAOsxk6pbnoA,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,4,4,1,2,1,3,2,4,"1,3",5,2,1,6,,,,,,,1,6,,,,,2,7,,,,,2,7,,,,,3,9,,,,,,,2,7,3,5,3,
2023-04-09 05:57:19,2023-04-09 05:58:07,0,120.18.105.202,100,48,1,2023-04-09 05:58:08,R_1opSFDvBOgEWCEC,,,,,-33.8715,151.2006,anonymous,EN,3,2,3,4,4,3,2,1,3,2,4,3,2,3,,,,,1,5,,,,,1,4,,,,,1,5,,,,,2,8,,,,,2,8,2,7,,,,,3,4,5,
2023-04-09 05:57:44,2023-04-09 05:58:26,0,120.18.157.86,100,42,1,2023-04-09 05:58:26,R_2ZTZ1MsxYP9isPb,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,4,4,2,4,3,2,1,4,"1,2",1,2,2,7,,,,,,,2,7,,,,,1,5,,,,,1,5,,,,,1,6,,,,,,,1,5,,,,
2023-04-09 05:58:38,2023-04-09 05:59:26,0,120.18.105.202,100,47,1,2023-04-09 05:59:28,R_3q85r7o9fOqSEgq,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,2,1,3,1,1,3,2,4,11,1,3,,,,,2,8,,,,,2,8,,,,,2,8,,,,,2,8,,,,,2,8,2,8,,,,,,,,
2023-04-09 05:59:33,2023-04-09 06:00:30,0,120.18.105.202,100,56,1,2023-04-09 06:00:31,R_239upm57nnxRehO,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,1,1,1,1,3,1,2,4,3,2,"2,3",2,8,,,2,8,,,1,6,2,7,,,2,7,1,6,,,3,9,3,10,,,1,6,1,5,1,5,,,1,5,1,3,3,
2023-04-09 05:59:09,2023-04-09 06:00:44,0,120.18.24.197,100,94,1,2023-04-09 06:00:44,R_BXtZbe4tLmk2dYl,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,2,2,2,3,2,3,1,4,"1,2",2,"1,2",1,6,1,6,,,2,7,1,6,,,2,7,1,6,,,1,6,1,6,,,1,6,1,6,,,,,1,5,1,6,,,,
2023-04-09 05:59:19,2023-04-09 06:00:48,0,120.17.44.149,100,89,1,2023-04-09 06:00:48,R_6xjgj4H6Hxk3G0h,,,,,-33.8715,151.2006,anonymous,EN,3,2,1,2,3,3,5,1,3,2,4,1,4,1,,,2,8,,,2,7,,,,,1,5,,,,,1,5,,,,,1,6,,,,,,,1,6,,,,,,
2023-04-09 05:59:15,2023-04-09 06:01:39,0,120.18.157.86,100,143,1,2023-04-09 06:01:40,R_1PR9xTU851sqoRP,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,2,2,2,1,2,1,3,4,"1,2",2,1,,,1,5,,,1,5,,,,,1,5,,,,,1,5,,,,,1,5,,,,,,,1,6,,,,,,
2023-04-09 06:00:49,2023-04-09 06:01:52,0,120.18.105.202,100,63,1,2023-04-09 06:01:52,R_22DDX1YrrKy1NQ1,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,2,4,3,2,1,4,2,3,1,2,"2,3",2,8,,,3,9,,,2,7,2,8,,,2,7,2,7,,,1,6,1,6,,,2,8,2,8,3,9,,,3,9,,,,
2023-04-09 06:01:49,2023-04-09 06:02:22,0,120.18.157.86,100,32,1,2023-04-09 06:02:23,R_3NxJCnQ9O5kesEx,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,3,3,2,2,3,1,4,2,2,2,1,,,1,5,,,1,5,,,,,1,5,,,,,1,4,,,,,1,3,,,,,,,1,5,,,,,,
2023-04-09 06:01:57,2023-04-09 06:02:43,0,120.17.44.149,100,46,1,2023-04-09 06:02:43,R_3ITbBHG9nxsHFzd,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,3,2,3,2,4,1,2,3,2,2,1,,,3,9,,,1,3,,,,,2,8,,,,,1,3,,,,,1,5,,,,,,,1,5,,,,,,
2023-04-09 06:02:02,2023-04-09 06:03:10,0,120.18.105.202,100,67,1,2023-04-09 06:03:10,R_1ewzSYkX4Pvtnyk,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,3,3,3,3,1,2,4,3,"1,2,3,4",2,"1,2,3",1,6,3,9,3,9,3,9,3,9,3,9,2,8,3,9,3,10,1,6,3,9,3,9,1,6,2,8,3,9,1,6,2,7,3,9,3,4,5,
2023-04-09 06:00:50,2023-04-09 06:03:20,0,120.18.24.197,100,149,1,2023-04-09 06:03:20,R_2SvIURjDdosf6OR,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,3,2,2,2,2,1,3,4,1,1,2,1,6,,,,,,,1,5,,,,,1,6,,,,,1,5,,,,,1,5,,,,,,,1,4,,,,
2023-04-09 06:02:28,2023-04-09 06:03:30,0,120.18.157.86,100,61,1,2023-04-09 06:03:30,R_RCXsdP4stzb0MKd,,,,,-33.8715,151.2006,anonymous,EN,3,2,3,4,3,2,2,3,2,4,1,2,2,2,1,6,,,,,,,1,5,,,,,1,5,,,,,1,5,,,,,1,5,,,,,,,1,5,,,,
2023-04-09 06:03:25,2023-04-09 06:04:09,0,120.18.105.202,100,44,1,2023-04-09 06:04:10,R_2BncxLjpKmenaK7,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,3,4,2,1,1,3,2,4,4,2,"1,2",3,9,2,8,,,3,9,2,7,,,3,9,1,6,,,3,10,2,7,,,3,10,2,8,,,,,2,8,2,8,4,3,2,
2023-04-09 06:03:25,2023-04-09 06:04:32,0,120.18.24.197,100,66,1,2023-04-09 06:04:32,R_DdSPQldGMm1LA0p,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,2,2,2,3,3,2,1,4,1,2,2,1,5,,,,,,,1,5,,,,,1,4,,,,,1,5,,,,,1,6,,,,,,,1,5,,,,
2023-04-09 06:03:35,2023-04-09 06:04:40,0,120.18.157.86,100,65,1,2023-04-09 06:04:41,R_W1J7rh62JscN6Pn,,,,,-33.8715,151.2006,anonymous,EN,3,2,2,3,2,1,3,3,2,1,4,"1,2",1,1,,,1,4,,,1,6,,,,,1,5,,,,,1,5,,,,,1,6,,,,,,,1,5,,,,,,
